user_id	im_id	timestamp
1	736	2014-10-07T16:36:51
1	803	2014-10-07T16:37:27
1	165	2014-10-07T16:37:45
1	710	2014-10-07T16:38:06
1	583	2014-10-07T16:38:51
1	159	2014-10-07T16:39:27
1	927	2014-10-07T16:41:03
1	762	2014-10-07T16:43:32
1	287	2014-10-07T16:45:24
1	843	2014-10-07T16:45:40
1	515	2014-10-07T16:46:11
1	474	2014-10-07T16:47:57
1	69	2014-10-07T16:48:37
1	392	2014-10-07T16:55:50
1	917	2014-10-12T15:14:50
1	367	2014-10-18T19:09:22
1	381	2014-10-19T18:03:40
1	197	2014-10-19T18:04:55
1	482	2014-10-25T04:49:08
1	2	2014-10-25T04:49:18
1	309	2014-10-28T16:40:56
1	840	2014-10-28T16:41:58
1	641	2014-10-28T16:42:18
1	451	2014-10-28T16:42:49
1	555	2014-10-30T14:27:14
1	176	2014-10-30T14:31:07
1	541	2014-10-30T14:31:41
1	837	2014-10-30T14:31:52
1	543	2014-10-30T14:33:55
1	618	2014-10-30T14:34:02
1	518	2014-10-30T14:41:47
1	420	2014-10-30T22:31:13
1	51	2014-11-01T21:01:46
1	378	2014-11-01T21:01:59
1	926	2014-11-01T21:02:09
1	911	2014-11-01T21:02:27
1	315	2014-11-01T21:03:23
1	208	2014-11-01T21:04:08
1	864	2014-11-01T21:05:50
1	336	2014-11-01T21:05:59
1	945	2014-11-01T21:06:21
1	356	2014-11-01T21:11:40
1	328	2014-11-09T18:51:12
1	654	2014-11-12T23:20:08
1	59	2014-11-22T03:46:41
1	281	2014-11-22T03:46:48
1	865	2014-11-22T03:48:48
1	688	2014-11-22T03:50:10
1	540	2014-11-23T18:57:01
1	335	2014-11-23T18:57:59
1	394	2014-11-24T19:20:22
1	54	2014-11-24T19:20:26
1	75	2014-11-24T19:21:16
1	852	2014-11-24T19:21:50
1	52	2014-11-24T19:22:13
1	55	2014-11-24T19:22:20
1	589	2014-11-24T19:22:25
1	18	2014-11-24T19:22:54
1	649	2014-11-24T19:23:06
1	897	2014-11-24T19:23:11
1	935	2014-11-24T19:23:25
1	115	2014-11-24T19:23:36
1	315	2014-11-24T19:24:00
1	296	2014-11-24T19:24:07
1	538	2014-11-24T19:24:11
1	942	2014-11-24T19:24:30
1	220	2014-11-24T19:24:51
1	162	2014-11-27T21:32:07
1	184	2014-11-27T21:32:48
1	428	2014-11-30T17:40:15
1	261	2014-11-30T17:42:13
1	383	2014-11-30T17:43:33
1	824	2014-11-30T17:45:03
1	535	2014-11-30T17:48:32
1	241	2014-11-30T17:51:29
1	875	2014-11-30T17:52:16
1	628	2014-12-06T21:37:23
1	142	2014-12-11T17:59:29
1	533	2014-12-28T17:59:47
1	896	2014-12-30T22:51:17
1	227	2014-12-30T22:51:48
1	35	2014-12-30T22:52:48
1	293	2014-12-30T22:53:06
1	354	2014-12-30T22:54:15
1	77	2014-12-30T22:54:35
1	432	2015-01-03T23:12:14
1	933	2015-01-23T21:45:31
1	486	2015-01-25T08:49:53
1	4	2015-01-29T00:47:35
1	754	2015-02-18T23:38:22
1	409	2015-03-10T02:20:03
1	642	2015-04-12T16:48:51
1	547	2015-04-21T20:53:00
1	305	2015-04-21T20:54:08
1	205	2015-04-21T21:02:42
1	6	2015-04-21T21:03:07
1	230	2015-05-30T19:31:08
1	752	2015-05-30T19:32:59
1	923	2015-05-30T19:33:11
1	558	2015-05-30T19:33:29
1	146	2015-05-30T19:33:48
1	622	2015-06-06T15:37:57
1	14	2015-06-14T02:11:32
1	825	2015-07-07T21:14:27
1	924	2015-07-07T21:43:11
1	772	2015-07-26T21:53:16
1	319	2015-07-26T21:54:04
1	106	2015-09-14T17:59:16
1	766	2015-09-18T23:36:27
2	643	2012-03-12T18:37:59
2	215	2012-05-15T05:36:29
2	783	2012-07-06T02:43:33
2	652	2012-07-06T02:44:14
2	393	2012-07-06T02:46:36
2	278	2012-07-06T02:47:13
2	904	2012-07-06T02:48:10
2	124	2012-07-06T02:48:27
2	290	2014-10-19T00:14:44
2	870	2014-10-20T04:32:58
2	239	2014-10-20T23:06:41
2	462	2014-10-23T00:40:44
2	322	2014-10-24T00:07:50
2	391	2014-11-28T21:52:29
2	272	2014-11-29T22:41:05
2	411	2014-11-30T22:57:55
2	675	2014-12-03T06:03:05
3	786	2014-04-25T04:22:07
3	473	2014-04-25T04:22:33
3	45	2014-04-25T04:23:42
3	646	2014-04-25T04:26:53
3	938	2014-04-25T04:29:01
3	48	2014-04-25T04:29:24
3	848	2014-04-25T04:31:11
3	232	2014-04-25T04:34:01
3	111	2014-04-25T04:39:26
3	214	2014-04-25T04:40:03
3	600	2014-04-25T04:40:50
3	306	2014-04-25T04:41:58
3	352	2015-04-18T03:26:37
3	192	2015-04-19T06:18:11
3	464	2015-05-03T01:41:06
3	507	2015-05-13T04:48:04
3	892	2015-05-19T05:50:55
3	389	2015-05-19T05:51:11
3	9	2015-09-21T06:35:19
3	207	2015-09-21T06:36:00
3	10	2015-09-21T06:38:06
3	402	2015-09-21T06:40:12
3	277	2015-09-21T06:42:37
4	658	2015-01-15T02:07:31
4	122	2015-01-15T02:13:13
4	210	2015-01-15T02:14:11
4	469	2015-01-15T02:14:30
4	112	2015-01-15T02:18:26
4	316	2015-01-15T02:19:07
4	944	2015-01-15T02:23:41
4	179	2015-03-08T02:46:45
4	174	2015-03-08T03:03:11
4	854	2015-03-09T02:21:57
4	455	2015-06-13T01:19:32
5	334	2012-08-06T03:16:12
5	907	2012-10-01T16:53:57
5	222	2012-10-04T13:38:37
